COMMENT,kmp_n_78_min_2_max_156_run_ps
SORT_BY,78
156,78
155,78
154,78
153,78
152,78
151,78
150,78
149,78
148,78
147,78
146,78
145,78
144,78
143,78
142,78
141,78
140,78
139,78
138,78
137,78
136,78
135,78
134,78
133,78
132,78
131,78
130,78
129,78
128,78
127,78
126,78
125,78
124,78
123,78
122,78
121,78
120,78
119,78
118,78
117,78
116,78
115,78
114,78
113,78
112,78
111,78
110,78
109,78
108,78
107,78
106,78
105,78
104,78
103,78
102,78
101,78
100,78
99,78
98,78
97,78
96,78
95,78
94,78
93,78
92,78
91,78
90,78
89,78
88,78
87,78
86,78
85,78
84,78
83,78
82,78
81,78
80,78
79,78
78,78
77,78
76,79
75,80
74,81
73,82
72,83
71,84
70,85
69,86
68,87
67,88
66,89
65,90
64,91
63,92
62,93
61,94
60,95
59,96
58,97
57,98
56,99
55,100
54,101
53,102
52,103
51,104
50,105
49,106
48,107
47,108
46,109
45,110
44,111
43,112
42,113
41,114
40,115
39,116
38,118
37,121
36,124
35,127
34,130
33,133
32,136
31,139
30,142
29,145
28,148
27,151
26,154
25,159
24,165
23,171
22,177
21,183
20,189
19,196
18,206
17,216
16,226
15,238
14,253
13,268
12,288
11,309
10,337
9,370
8,411
7,463
6,534
5,633
4,781
3,1028
2,1522
1,3004
